,0
2605,고 밝혔다
2606,이형주 기자 . 창닫기기사를 추천 하셨습니다여수광양항만공사 해양쓰레기로 친환경 자원순환 사업베스트 추천 뉴스이기홍 칼럼대통령 되겠다면서 사법부 부정하는 희대의 자가당착.임대차법으로 무슨 짓 한건지. 퇴거 요구받은 세입자 한숨.회계부정. . 정정순 .심서 당선무효형.저거. 공방에 참다못한 .당원들 .내전 계속하면 탈당.동해 바다
2607, 한국어 교가 .전역 또 울렸다항거 나선 아프간 장군의 아들 .가 .민주주의 무기고. 돼달라. . . . . . 여수광양항만공사친환경 자원순환 사업다
2608,미국 시장에서 현대자동차와 기아 친환경차 판매가 크게 늘고 있다
2609,현대차.기아는 올해 .월 미국 시장에서 친환경차만 .만.대를 판매했다고 .일 밝혔다
2610, 이는 지난해 같은 기간 판매대수.만.대보다 .배 증가한 수치다
2611, 이 중 현대차 개인 고객의 경우 .나 증가한 것으로 알려졌다
2612,기아 역시 올해 .월 미국 시장에서 .만.대의 친환경차를 판매했다
2613, 전년.대 대비 . 급증한 기록이다
2614, . . . . . . . . . . . . 두 회사의 .월 미국 친환경차 판매는 총 .만.대로 지난해.만.대보다 . 증가했다
2615, 같은 기간 양사의 미국 판매가 총 .만.대로 . 증가한 것과 비교하면 친환경차의 판매 성장세가 두드러진다
2616, 주요기사 예고없는 연쇄 대출중단.전세대출은 투기 아닌데 왜.전문가들 .위드 코로나 .차 접종률 . 되는 .말.초 예상. 파워트레인별로는 하이브리드가 전년 대비 . 증가한 .만.대가 판매돼 가장 많았다
2617, 전기차는 . 증가한 .만.대 수소전기차는 . 증가한 .대가 판매되는 등 파워트레인별로 고른 증가세를 보였다
2618, 차종별로는 아이오닉구형 가 .만.대 니로 가 .만.대 팔리며 .만대를 넘겼다
2619,최근 투입된 투싼과 싼타페 쏘렌토 등 친환경 스포츠유틸리티차도 .대씩 팔려나갔다
2620, 수소전기차 넥쏘는 지난달 .대가 판매돼 월간 최다 판매 기록을 세우기도 했다
2621,현대차와 기아는 연내 현대차 첫 전용 전기차인 아이오닉 .를 미국 시장에 투입하고 내년 기아의 첫 전용 전기차 .와 제네시스 첫 친환경 모델인 . 전동화 모델을 선보일 계획이다
2622, 현대차.기아 관계자는 .아이오닉 .와 . . 전동화 모델 등이 투입되면 미국 내 친환경차 판매는 더욱 늘어날 것.이라고 말했다
2623, 동아닷컴 정진수 기자 .창닫기기사를 추천 하셨습니다현대차.기아 미국서 친환경차 판매 고공행진베스트 추천 뉴스이기홍 칼럼대통령 되겠다면서 사법부 부정하는 희대의 자가당착.임대차법으로 무슨 짓 한건지. 퇴거 요구받은 세입자 한숨.회계부정. . 정정순 .심서 당선무효형.저거. 공방에 참다못한 .당원들 .내전 계속하면 탈당.동해 바다
2624, 한국어 교가 .전역 또 울렸다항거 나선 아프간 장군의 아들 .가 .민주주의 무기고. 돼달라. . . . . .다
2625,롯데슈퍼가 기업형 슈퍼마켓 최초로 스티로폼을 대체할 수 있는 콜드체인 박스를 도입한다고 .일 밝혔다
2626,콜드체인은 신선식품부터 의약품 등 온도에 민감한 제품을 생산지에서 최종 소비지까지 저온을 유지하며 신선도를 지키는 저온 물류 시스템을 말한다
2627,지금까지 콜드체인 배송 과정에서 가장 보편적으로 쓰였던 포장재는 가격이 저렴하면서 보냉효과가 뛰어난 스티로폼이었다
2628, 하지만 스티로폼은 생산 과정에서만 온실가스 .만을 배출하며 사용 후에도 .년간 썩지 않는 쓰레기를 생성하는 환경오염의 주범이다
2629, . . . . . . . . . . . . 최근 신종 코로나바이러스 감염증코로나. 사태로 신선식품의 배송 물량이 증가하면서 스티로폼 사용량도 크게 증가했다
2630, 주요기사 예고없는 연쇄 대출중단.전세대출은 투기 아닌데 왜.전문가들 .위드 코로나 .차 접종률 . 되는 .말.초 예상. 이에 따라 롯데슈퍼는 스티로폼을 대체하기 위해 .그리니 에코박스.를 수산물 입고 과정에 도입하기로 했다
2631, 코로나. 백신 운송 용기로 쓰이는 .그리니 메디.와 신선식품 배송 용기 .그리니 푸드박스.를 운영중인 콜드체인 물류 스타트업 .에스랩아시아. .와 업무 협약을 맺고 .일부터 .그리니 에코박스. .개를 시범적으로 운영할 계획이다
2632, 플라스틱 상자 내부에 특수 원단으로 단열 처리를 한 .그리니 에코박스.는 스티로폼에 비해 단열 성능이 우수하여 신선도 유지 효과가 높다
2633, 얼음팩 및 드라이아이스 등 보냉제 사용량을 줄일 수 있다는 장점도 있다
2634, 또 살균 세척을 통한 재사용이 가능해 스티로폼 박스보다 위생적이며 파손되지 않는 한 .년 이상 지속적으로 사용할 수 있다
2635,롯데슈퍼는 전국 각지에서 수산물을 공급받는 스티로폼 박스를 .그리니 에코박스.로 교체하면 연간 스티로폼 소비량을 . 절감할 수 있고 납품 파트너사가 스티로폼을 구매하는 데 드는 연간 구매비용도 약 .억 원 정도 절감할 수 있을 것으로 보고 있다
2636,롯데슈퍼는 .그리니 에코박스. 시범 운영 이후 롯데상사 외 다양한 파트너사들과 함께 조개류 전복류 간편수산물 등의 수산 상품 물류 배송에 해당 박스를 적용할 예정이다
2637,강호진 롯데슈퍼 신선부문장은 .환경 보호와 지속 가능한 경영에 대한 중요성이 그 어느 때보다 대두되고 있다
2638,며 .친환경 콜드체인 박스 도입을 통해 수산물 배송에 사용되는 스티로폼을 제로 수준으로 만들어 경영을 더욱 강화해 나가겠다
2639,고 말했다
2640,윤우열 동아닷컴 기자 .창닫기기사를 추천 하셨습니다롯데슈퍼 친환경 콜드체인 박스 도입.환경오염 주범. 스티로폼 대체베스트 추천 뉴스이기홍 칼럼대통령 되겠다면서 사법부 부정하는 희대의 자가당착.임대차법으로 무슨 짓 한건지. 퇴거 요구받은 세입자 한숨.회계부정. . 정정순 .심서 당선무효형.저거. 공방에 참다못한 .당원들 .내전 계속하면 탈당.동해 바다
2641, 한국어 교가 .전역 또 울렸다항거 나선 아프간 장군의 아들 .가 .민주주의 무기고. 돼달라. . . . . .다
2642,. 재활용 가능한 페트병 개발 이산화탄소 . 저감하고 재활용 뚜껑에도 바이오 기술 적용해 눈길 .라벨 제품으로 자원순환성 강화 사탕수수에서 추출한 바이오매스 등으로 만들어 이산화탄소 저감에도 도움을 주는 바이오 페트 제품인 제주삼다수가 시장에 나온다
2643, 제주도개발공사 제공제주삼다수를 생산하는 제주도개발공사가 . 재활용이 가능한 페트병을 개발하는 등 친환경 사업에 본격적으로 뛰어들었다
2644, 제주삼다수는 국내 먹는샘물 시장에서 부동의 .위를 지키고 있다
2645, 제주도개발공사는 친환경 경영 사업의 하나로 바이오페트를 적용한 제품 개발을 완료해 일반인에게 공개한다고 .일 밝혔다
2646, 이 제품은 .제주삼다수 바이오.로 이름 붙여졌다
2647, 사탕수수에서 설탕을 정제하고 남은 폐당밀로 만든 .바이오매스.를 원료로 사용하는 게 특징이다
2648, 이는 기존 페트병 대비 이산화탄소를 . 저감시키고 석유계 플라스틱과 동일한 분자구조를 보여 . 재활용이 가능하다
2649, 기존에 사용하는 삼다수 페트와 비교해서 고유점도와 밀도 등의 수치가 거의 동일하고 제품에 대한 국내 식품용기 용출 규격 및 기준을 통과하는 등 추가 안전성 검증도 마쳤다
2650, . . . . . . . . . . . . 몸체 재질의 바이오 페트 생산 외에도 캡뚜껑에 바이오 기술을 적용해 제품의 친환경성과 자원 재활용성을 더욱 높였다
2651, 바이오 페트를 적용한 제주삼다수 바이오 생산을 위해 자체 연구를 비롯해 제주대 생명과학기술혁신센터의 수질검사를 거쳤다
2652, 주요기사 예고없는 연쇄 대출중단.전세대출은 투기 아닌데 왜.전문가들 .위드 코로나 .차 접종률 . 되는 .말.초 예상. 이 제품의 시장 출시에 앞서 한국여자프로골프투어 하반기 첫 대회인 제주삼다수 마스터스에서 선수와 대회 관계자 등에게 제공할 예정이다
2653, 이 대회는 .일부터 나흘간 서귀포시 우리들골프리조트파.에서 열린다
2654, 이와 함께 제주도개발공사 측은 이달 .일부터 무.라벨 제품인 .제주삼다수 그린.을 삼다수 앱을 통해 판매하고 있다
2655, 제주삼다수 그린은 무라벨 무색 병 무색 캡으로 만들어 자원순환성을 강화한 제품으로 .월 열린 . . 서울 녹색미래 정상회의.에서 첫선을 보였다
2656, 페트병의 재활용 효율을 높이기 위해 페트병을 단일 재질의 무색 병으로 전환한 것이다
2657, 이 제품들은 제주도개발공사가 .월 선포한 .그린 홀 프로세스 . 친환경 경영으로 추진되는 것이다
2658, 이산화탄소 저감을 위한 생산부터 유통 수거 새 활용업사이클링까지 전 과정을 포괄하는 친환경 사업 모델이다
2659, 앞으로 .년까지 플라스틱 사용량을 . 절감할 방침이다
2660, 제주삼다수 생산 라인을 비롯한 모든 사업장에서 신재생에너지 비중을 .로 늘릴 예정이다
2661, 김정학 제주도개발공사 사장은 .제주삼다수가 추구하는 핵심적 가치인 친환경 경영을 위해 지금까지 해왔던 것보다 진일보한 .그린 홀 프로세스 경영.을 본격화하고 있다
2662,며 .기후변화 대응과 자원 순환을 위해 지속적으로 노력하는 환경 사회 지배구조 경영 선도 공기업으로 거듭나겠다
2663,고 말했다
2664,임재영 기자 .창닫기기사를 추천 하셨습니다먹는 샘물 .부동의 .위. 제주삼다수 친환경 제품으로 변신베스트 추천 뉴스이기홍 칼럼대통령 되겠다면서 사법부 부정하는 희대의 자가당착.임대차법으로 무슨 짓 한건지. 퇴거 요구받은 세입자 한숨.회계부정. . 정정순 .심서 당선무효형.저거. 공방에 참다못한 .당원들 .내전 계속하면 탈당.동해 바다
2665, 한국어 교가 .전역 또 울렸다항거 나선 아프간 장군의 아들 .가 .민주주의 무기고. 돼달라. . . . . . 제주도개발공사제주삼다수친환경 제품재활용 가능 페트병다
2666,풀무원이 한국생산기술연구원과 손잡고 친환경 식품 패키지 개발에 나선다
2667,풀무원기술원원장 이상윤은 한국생산기술연구원원장 이낙규과 식품산업의 탄소 중립 및 환경 사회 지배구조 경영 강화를 위하여 친환경 녹색 포장 기술 기반으로 혁신적이고 지속가능한 식품 패키지 개발 및 기술 협력을 위한 업무협약을 체결하고 공동사업을 추진해 나가기로 했다고 .일 밝혔다
2668,이번 협약식은 전날 충북 오송 바이오폴리스 소재 풀무원기술원에서 열렸다
2669, 이상윤 풀무원기술원 원장과 김상구 식품안전실 실장 이낙규 한국생산기술연구원 원장 심진기 한국생산기술연구원 패키징 기술센터 센터장 등 양사의 주요 인사가 참석했다
2670, . . . . . . . . . . . . 양사는 혁신적인 식품 패키징 개발과 친환경 패키징 지속가능한 패키징 산업 발전을 위해 협력해 나가기로 했다
2671, 주요기사 예고없는 연쇄 대출중단.전세대출은 투기 아닌데 왜.전문가들 .위드 코로나 .차 접종률 . 되는 .말.초 예상. 협약에 따라 양사는 .식품 패키징 및 온라인 물류 분야의 공동 연구 개발 발굴 및 과제 수행 .신소재 신기술 새로운 디자인을 활용한 혁신 제품 개발 .식품 친환경 패키징 기술 및 제품 개발 .식품 패키징 기술 정보 트렌드 네트워크 공유 .패키징 분야 기자재 및 시설물의 공동 활용 .기타 상호 기관이 서로 필요로 하는 사항 등을 함께 이행하게 된다
2672, 풀무원은 이번 업무협약 체결로 친환경 패키지 개발뿐 아니라 온라인 유통에 최적화된 친환경 혁신 패키징 소재 개발에 더욱 속도를 낼 수 있을 것으로 보고 있다
2673, 풀무원은 .년 경영목표인 .를 발표하며 .년까지 풀무원에서 생산 및 판매하는 모든 제품에 . 재활용 우수 포장재 적용 완료 계획을 밝힌 바 있다
2674, 이상윤 풀무원기술원 원장은 .양사가 함께 친환경 혁신 패키지 개발에 협력함으로써 식품 산업 발전에 시너지를 낼 수 있을 것으로 기대한다
2675,며 .풀무원은 .사람과 자연을 함께 사랑하는 로하스 기업.이라는 미션 아래 지구 환경에 도움이 될 수 있는 친환경 소재를 지속 개발하여 식품산업의 탄소 중립 및 경영 강화에 기여해 나가겠다
2676,고 말했다
2677,윤우열 동아닷컴 기자 .창닫기기사를 추천 하셨습니다풀무원 한국생산기술연구원과 맞손.친환경 식품 패키지 개발 나선다베스트 추천 뉴스이기홍 칼럼대통령 되겠다면서 사법부 부정하는 희대의 자가당착.임대차법으로 무슨 짓 한건지. 퇴거 요구받은 세입자 한숨.회계부정. . 정정순 .심서 당선무효형.저거. 공방에 참다못한 .당원들 .내전 계속하면 탈당.동해 바다
2678, 한국어 교가 .전역 또 울렸다항거 나선 아프간 장군의 아들 .가 .민주주의 무기고. 돼달라. . . . . .다
2679,종합화학.팩 친환경 포장재 공동 개발 깨끗한나라 생활용품 외포장재로 활용 버려지는 폐플라스틱 재활용 종합화학 .협력 확대해 친환경 생태계 조성 앞장. 이노베이션은 자회사 종합화학과 그룹 포장재 생산 계열사 팩 종합제지업체 깨끗한나라 등 .개 업체가 친환경 포장재 개발 등을 위한 업무협약을 체결했다고 .일 밝혔다
2680, 이번 협약은 포장 소재 생산종합화학과 포장재 제조 및 유통팩 사용기업깨끗한나라 등 밸류체인 전 과정에 속한 업체들이 뜻을 모아 이뤄진 협약이다
2681,협약에 따라 종합화학과 팩은 친환경 포장재를 공동 개발하고 깨끗한나라는 이를 화장지나 미용티슈 등 생활용품 외포장재로 사용하기로 했다
2682,특히 이들 .개 업체는 포장재 생산 공정에서 불가피하게 버려지는 잔여 합성수지를 재활용해 신규 친환경 포장재 개발을 추진할 계획이다
2683, 친환경 포장재에 재활용 플라스틱을 . 이상 적용한다는 점에서 폐플라스틱 자원 순환 및 탄소저감에 기여할 것으로 기대하고 있다
2684, . . . . . . . . . . . . 그동안 포장재 생산 공정에서 버려지는 플라스틱은 강도 등 물성이 떨어지고 외부 오염 등으로 인한 재가공 이슈로 부가가치가 낮은 플라스틱 제품을 제작하는 용도로만 사용하거나 소각 및 매립됐다
2685, 종합화학 등 .개 업체는 이번 협력을 통해 폐플라스틱을 분쇄한 후 재생 플라스틱 원료로 가공하는 물리적 재활용 기술을 친환경 포장재에 적용할 계획이다
2686, 향후 물티슈 포장재와 소독제 용기 등 다양한 제품군으로 친환경 포장재 사용을 확대한다는 방침이다
2687, 주요기사 예고없는 연쇄 대출중단.전세대출은 투기 아닌데 왜.전문가들 .위드 코로나 .차 접종률 . 되는 .말.초 예상. 김창대 팩 대표는 .생산과정에서 버려지는 자원을 적극적으로 재활용하는 것은 환경보호 차원에서 매우 중요하다
2688,며 .그룹의 환경.사회.지배구조경영 정책에 발맞춰 앞으로도 다양한 관점에서 친환경 소재를 개발해 나갈 것.이라고 전했다
2689, 장남훈 종합화학 패키징본부장은 .이번 협력이 탄소저감 및 폐플라스틱 순환 체계 구축에 도움이 될 것으로 기대한다
2690,며 .앞으로도 종합화학은 다양한 업체들과 협력을 확대해 친환경 플라스틱 생태계 조성에 앞장설 것.이라고 말했다
2691,한편 종합화학은 친환경 업사이클 제품을 개발해 다양한 기업들에게 친환경 솔루션을 제공하는데 많은 공을 들이고 있다
2692, 동민산업과 협력해 버려진 농업용 .곤포 사일리지.를 업사이클 원단으로 만들고 이를 이달부터 종합화학의 화학제품을 담는 친환경 포대로 제작해 활용하고 있다고 한다
2693, 이밖에 재활용이 쉽도록 단일 소재로 만든 포장재를 개발해 마켓컬리와 제일제당 등 온.오프라인 유통업계 등에 공급하고 있다
2694,동아닷컴 김민범 기자 .창닫기기사를 추천 하셨습니다
2695,친환경 포장 밸류체인 완성. 종합화학 .팩.깨끗한나라.와 포장재 개발 업무협약베스트 추천 뉴스이기홍 칼럼대통령 되겠다면서 사법부 부정하는 희대의 자가당착.임대차법으로 무슨 짓 한건지. 퇴거 요구받은 세입자 한숨.회계부정. . 정정순 .심서 당선무효형.저거. 공방에 참다못한 .당원들 .내전 계속하면 탈당.동해 바다
2696, 한국어 교가 .전역 또 울렸다항거 나선 아프간 장군의 아들 .가 .민주주의 무기고. 돼달라. . . . . .다
2697,국제 인증 받은 .에코론. 소재 활용 기능성 네오후레쉬.바이오맥스 적용 흡한속건.냉감 기능 적용 휠라코리아는 친환경 소재와 기능성 소재가 조합된 .에코 프렌들리 컬렉션.을 출시하고 본격적인 판매에 들어간다고 .일 밝혔다
2698, 해당 컬렉션 제품에 사용된 소재 절반가량이 친환경 소재인 폴리에스테르 에코론으로 구성됐다고 한다
2699, 여기에 고기능성 폴리 원사를 혼합해 여름철 속옷이 갖춰야 할 흡한속건과 냉감 기능을 구현했다고 설명했다
2700,친환경 소재 에코론은 국내에서 분리배출된 페트병을 재활용해 만든 리사이클 폴리 원사다
2701, 국제 재활용 인증 을 획득한 소재로 최근 친환경 섬유로 각광받고 있다고 한다
2702, 기능성 소재로는 네오후레쉬와 바이오맥스 등 냉감 기능이 우수한 원사를 활용했다
2703, 땀을 빠르게 말려주고 시원한 착용감을 유지한다고 휠라코리아 측은 전했다
2704,디자인의 경우 브랜드 헤리티지를 담았다
2705, 브랜드 아이코닉 컬러인 레드와 네이비 화이트 등을 주요 컬러로 활용했고 스몰 레터링 밴드 디테일을 더해 스포티한 느낌을 살렸다
2706,컬렉션은 브래지어와 브라탑 남녀 드로즈 브리프 등 정통 언더웨어 제품을 비롯해 반팔 티셔츠 등 이지웨어로 구성했다
2707, 일상 전반에서 편안하고 자연스럽게 스타일을 표현할 수 있도록 했다고 강조했다
2708, . . . . . . . . . . . . 휠라코리아 관계자는 .자연에 한 발짝 가까이 다가간 에코 프렌들리 컬렉션을 활용해 몸은 물론 마음까지 편안하고 시원한 여름을 보내기 바란다
2709,고 말했다
2710,동아닷컴 김민범 기자 . 주요기사 예고없는 연쇄 대출중단.전세대출은 투기 아닌데 왜.전문가들 .위드 코로나 .차 접종률 . 되는 .말.초 예상. 창닫기기사를 추천 하셨습니다휠라코리아 .에코 프렌들리 언데웨어 컬렉션. 전개. .친환경.기능성 소재 조합.베스트 추천 뉴스이기홍 칼럼대통령 되겠다면서 사법부 부정하는 희대의 자가당착.임대차법으로 무슨 짓 한건지. 퇴거 요구받은 세입자 한숨.회계부정. . 정정순 .심서 당선무효형.저거. 공방에 참다못한 .당원들 .내전 계속하면 탈당.동해 바다
2711, 한국어 교가 .전역 또 울렸다항거 나선 아프간 장군의 아들 .가 .민주주의 무기고. 돼달라. . . . . .다
2712,한국가스공사 한국엘엔지벙커링.의 최초 방식 벙커링 작업을 수행한 제주 .호선. 한국가스공사 제공한국가스공사는 .년간 축적한 천연가스 분야의 전문성을 토대로 친환경 기조에 맞춰 새로운 비즈니스 모델을 창출하겠다고 밝혔다
2713, 이에 친환경 신사업의 일환으로 글로벌 액화천연가스 벙커링 사업 추진을 위해 자회사 한국엘엔지벙커링.을 설립하고 본격적인 추진에 나섰다
2714, 벙커링을 신사업으로 추진 벙커링은 주유소에서 자동차에 연료를 넣는 것과 같이 경유 등을 사용하는 선박들에 친환경 연료인 를 공급하는 것을 말한다
2715, 는 기존 선박용 연료 대비 황산화물과 분진 배출은 . 질소산화물 배출은 . 이산화탄소. 배출은 . 미세먼지는 .까지 줄일 수 있어 친환경 연료로 평가받는다
2716, . . . . . . . . . . . . 한국가스공사는 벙커링을 통한 친환경 에너지 보급에 앞장서기 위해 작년 .월에 자회사 한국엘엔지벙커링. 법인 설립 등기를 완료했다
2717, 한국엘엔지벙커링.은 벙커링용 선박 제주 .호를 운영하며 벙커링 서비스는 물론이고 천연가스 도입 저장 출하 공급을 주도적으로 추진할 수 있는 자회사다
2718, 향후 민관 협업을 위한 협의도 추진 중이다
2719, 주요기사 예고없는 연쇄 대출중단.전세대출은 투기 아닌데 왜.전문가들 .위드 코로나 .차 접종률 . 되는 .말.초 예상. 조사기관마다 차이를 보이지만 .년에는 전 세계 벙커링 수요가 .만.만 에 이를 것으로 예상된다
2720, 다국적 에너지 기업인 쉘과 토탈은 .년 벙커링이 전체 선박연료 시장의 .를 차지할 것.이라고 발표한 바 있다
2721, 벙커링 관련 선적설비 확보 한국가스공사 관계자가 선박에 벙커링을 공급하고 있다
2722, 벙커링 사업은 벙커링선을 이용해 추진선박에 를 공급하는 .선박 간 방식을 사용하기 때문에 저장설비 벙커링선 벙커링선에 를 선적해 줄 선적설비 등을 확보해야 한다
2723, 한국엘엔지벙커링.은 통영 기지에 국내 유일의 선적 전용설비 .기 국적 .호선 . 제주 .호. 등 모회사인 한국가스공사의 세계 최대의 천연가스 설비를 임차해 사용할 계획이다
2724, 제주 .호는 선박 연료용 공급설비를 탑재한 방식의 아시아 최초 . 벙커링 겸용 선박.으로 향후 벙커링 사업에 가장 많이 사용될 예정이다
2725, 올 .월 신조 발주한 벙커링 전용선인 동남.호선은 .년 초부터 운행된다
2726, 제주 .호는 작년 .월 운반선 시운전을 위한 세계 최초 . 선적 실증 테스트.를 성공적으로 마쳤으며 올 .월 .일 경남 거제시 삼성중공업 조선소에서 수송선에 방식으로 를 공급했다
2727, 이를 통해 벙커링 사업에서 필요한 운영 노하우 및 기술적 안전성 검증을 국내 최초로 확보한 것이다
2728, 앞서 .월 추진선 및 수송선에 각각 .트럭 대 선박 .항만 대 선박 방식으로 를 공급한 한국엘엔지벙커링.은 이번 공급에 성공함으로써 .가지 방식 모두 수행할 수 있는 역량을 입증했다
2729, 특히 국내 조선사가 방식으로 를 공급받을 경우 조선소 내 수송선 시운전이 가능해져 선박을 적기에 인도해 올 수 있어 유용하다
2730, 한국엘엔지벙커링.은 .년까지 선박용 .만 을 판매하고 매출 약 .조 원을 달성해 황산화물 . 미세먼지 .을 저감할 계획이다
2731, 이를 위해 동해와 남해 벙커링선 .척 서해 벙커링선 .척 당진 인수기지 선적설비 .식을 확보해 전국 항만을 대상으로 벙커링 사업을 추진할 예정이다
2732, 한국가스공사 관계자는 .선도적 투자를 통해 초기 벙커링 산업의 활성화에 기여할 것.이라며 .다양한 친환경 연료 전환 사업을 확대해 우리나라의 저탄소 친환경 에너지 시대를 이끌어 나아갈 계획.이라고 밝혔다
2733, 박지원 기자 . 창닫기기사를 추천 하셨습니다
2734, 벙커링. 적극 투자로 친환경 연료 공급 앞장베스트 추천 뉴스이기홍 칼럼대통령 되겠다면서 사법부 부정하는 희대의 자가당착.임대차법으로 무슨 짓 한건지. 퇴거 요구받은 세입자 한숨.회계부정. . 정정순 .심서 당선무효형.저거. 공방에 참다못한 .당원들 .내전 계속하면 탈당.동해 바다
2735, 한국어 교가 .전역 또 울렸다항거 나선 아프간 장군의 아들 .가 .민주주의 무기고. 돼달라. . . . . . 공기업감동경영공기업한국가스공사다
2736,여성 캐주얼 브랜드인 르니앤맥코이 를 운영하는 여성 패션 전문 회사 .미쥬대표 황승주는 .년도 서울산업진흥원 서울메이드의 패션 제품 관련 입점 기업으로 선정되었다고 .일 밝혔다
2737, 업체에 따르면 이번에 서울메이드에 입점하는 제품은 동물의 가죽이 아닌 선인장을 원료로 한 비건 가죽 가방이다
2738, 농약을 사용하지 않고 유기농으로 생산한 선인장 가죽은 독성 물질을 배출 없이 습기와 온도에 강하고 통기성과 내구성이 좋으며 가볍다는 특징을 가지고 있다
2739, 동물 가죽과 달리 살생하지 않아도 가죽을 얻을 수 있다는 점에서 신 개념 친환경 제품으로 볼 수 있다
2740, 미쥬 측은 패션 시장에서도 윤리적 소비와 가치 소비를 추구하는 소비자들이 늘어나면서 비건 제품들이 큰 호응을 얻고 있는 트렌드에 맞춰 선인장 가죽 가방을 시작으로 다양한 비건 가죽을 활용한 여러 패션 제품을 개발해 국내외 소비자들에게 선보일 예정이라고 전했다
2741, . . . . . . . . . . . . 황승주 대표는 .앞으로 지속 가능성을 최우선 과제로 소비자를 만족시킬 수 있는 제품을 만들기 위하여 제품 디자인과 연구개발에 노력을 기울이고 있다
2742,라고 말했다
2743, 주요기사 예고없는 연쇄 대출중단.전세대출은 투기 아닌데 왜.전문가들 .위드 코로나 .차 접종률 . 되는 .말.초 예상. 동아닷컴 박해식 기자 .창닫기기사를 추천 하셨습니다미쥬 .친환경 비건 가죽 가방 . 서울산업진흥원 서울메이드 패션 제품 선정.베스트 추천 뉴스이기홍 칼럼대통령 되겠다면서 사법부 부정하는 희대의 자가당착.임대차법으로 무슨 짓 한건지. 퇴거 요구받은 세입자 한숨.회계부정. . 정정순 .심서 당선무효형.저거. 공방에 참다못한 .당원들 .내전 계속하면 탈당.동해 바다
2744, 한국어 교가 .전역 또 울렸다항거 나선 아프간 장군의 아들 .가 .민주주의 무기고. 돼달라. . . . . .다
2745,안영배기자 .개 유인도와 .개 무인도로 이뤄진 전북 군산의 고군산군도. .를 걸어 나가도 물이 허리까지 밖에 차지 않는 명사십리해수욕장을 비롯한 아름다운 해변과 정겨운 어촌 풍경을 간직하고 있다
2746, .년 섬과 육지를 잇는 다리가 놓이면서 연간 .만 명의 관광객이 찾는다
2747, 섬에는 활기가 돌았지만 골칫거리도 생겨났다
2748, 섬에 넘쳐나는 플라스틱 쓰레기였다
2749, 고군산군도에서 .플라스틱 다이어트.라는 특별한 프로젝트가 시작된 것은 이 때문이다
2750, 플라스틱 빨대 . 친환경 빨대 . .일 오전 .시 군산시 옥도면 무녀도의 한 카페. 가족 연인 등 관광객이 시원한 음료를 마시며 더위를 식히고 있었다
2751, 갈증을 풀어줄 음료가 담긴 잔에는 특별한 빨대가 꽂혀 있었다
2752, 플라스틱이 아닌 갈대 빨대다
2753, . . . . . . . . . . . . 전북 군산의 고군산군도에 있는 .곳 카페에서 손님들에게 제공하는 친환경 갈대 빨대.이 카페에서는 이달부터 갈대와 옥수수 전분으로 만든 친환경 빨대를 쓰고 있다
2754, 한 달에 플라스틱 빨대를 .개 정도 사용했는데 친환경 빨대를 쓰면서 . 짜리 종량제 봉투 하나 분량의 쓰레기가 줄었다
2755, 주요기사 예고없는 연쇄 대출중단.전세대출은 투기 아닌데 왜.전문가들 .위드 코로나 .차 접종률 . 되는 .말.초 예상. 카페를 운영하는 이광욱 씨.는 .영업을 하면서 플라스틱 쓰레기가 많이 배출돼 마음이 불편했는데 갈대와 옥수수 전분으로 만든 빨대를 사용하면서 쓰레기가 줄고 손님들도 반응이 좋다
2756,고 설명했다
2757, 경기 포천시에서 휴가를 온 노성현 씨.는 .환경을 지키자는 취지에 . 공감한다
2758,며 .한번 쓰고 버리기 아까워 가져가서 재사용할 것.이라고 말했다
2759, 고군산군도에서 친환경 빨대를 사용하는 곳은 이 곳뿐이 아니다
2760, .곳 카페 모두 친환경 빨대를 쓴다
2761, 가족과 함께 섬을 찾은 김은정 씨.여는 .집에서 스테인리스 빨대를 쓰는데 이번에 갈대로 만든 빨대를 처음 봤다
2762,면서 .건강에도 좋을 것 같아 돌아가면 지역 커뮤니티에 홍보 글을 올릴 예정.이라고 밝했다
2763, 새만금개발공사 에코섬 만들기전북 군산의 고군산군도를 친환경 섬으로 만들기 위해 .플라스티 다이어트.에 동참한 카페 점주들과 새만금개발공사 관계자 등이 손 팻말을 들어 보이며 퍼포먼스를 하고 있다
2764, 새만금개발공사 제공. 고군산군도의 플라스틱 다이어트는 새만금개발공사의 사회공헌활동의 하나다
2765, 새만금개발공사는 장기적으로 진행할 사회공헌활동을 찾기 위해 주민과 머리를 맞댔다
2766, 플라스틱 쓰레기를 줄여 친환경 섬을 만들어 보기로 했다
2767, 한국서부발전과 가 프로젝트에 동참해 친환경 빨대 구입에 힘을 보탰다
2768, 올해 말까지 .곳 카페에 무상으로 친환경 빨대가 공급된다
2769, 새만금개발공사는 카페에서 텀블러에 음료를 담아가거나 사회관계망서비스에 친환경 여행 실천을 인증한 관광객 가운데 추첨을 통해 선물을 주는 .텀블러버 행복드림.과 .기후다짐러 액션인증. 챌린지도 진행한다
2770, 강팔문 새만금개발공사 사장은 .빨대 하나를 바꿨다고 친환경 섬이 되는 것은 아니지만 갈대 빨대는 여행객과 주민에게 기후위기와 환경 보전의 메시지를 전하는데 충분한 소품이 됐다
2771,며 .환경보호를 위한 다양한 시책으로 친환경 섬으로 가꾸는데 한 발짝 더 다가가겠다
2772,고 말했다
