,내용
1781,플라스틱 포장과 병이 없는 친환경 샴푸를 보니도덕적 우월감이 샘솟는군
1782,친환경정책의 핵심은정치적 압력으로 유가를 강제로 상승시켜친환경산업의 경제성을 높이는데 있습니다이 정치적 압력을 행사하는 주체는 두말할것없이 미국이고미국 민주당의 글로벌 패권정책과 결을 같이 합니다유가 상승은 각 대륙의 지역강국들에게 많은 이득을 가져다 주기에이들 국가들이 미국의 질서에 협조하는 원동력이 될수 있습니다사실상 브라질 러시아 같은 국가의 권력층들은 지금 아슬아슬하게 정권을 연장하고 있지요 유가상승을 위해서라면 바이든 똥꼬도 빨겁니다그리고 이 미국의 글로벌 패권에서 가장 득을 보는건 미국 와 금융 기업들이고요 와 금융이 살아남기 위해서친환경을 한배에 태웠다 이겁니다기후변화의 참 거짓을 떠나친환경주의자들이 힘을 얻는 배경이 이것입니다어쨌거나 이것이 가능하기 위해선 서구권 민주주의 시민들의 합의된 권력이 필요하겠고요이들이 진짜로 기후변화를 느낀다면 친환경주의가 주류가 될 겁니다그리고 지금 그 방향으로 나아가고 있다고 생각합니다유가 상승으로러시아나 브라질은 많은 이득을 볼 수 있을까요그건 아닐겁니다지금보다는 훨 숨통이 트이겠지만70년대나 2010년대초와 같은 그런 수혜는 다시 받을 수 없을겁니다친환경기술의 잠재력을 키워주는 방식으로 유가가 상승되기 때문에단기적으로는 크게 이득을 볼진 몰라도 장기적으로 볼때는 어렵습니다오히려 미국에게 끌려다니는 모양새죠 미국의 정치적 압력에 생사가 달려있게 된 것입니다그럼에도 지금 현상태를 유지하면 죽으니 어쩔수 없이 미국에 협조하게 될겁니다친환경정책은 셰일을 무기삼은 미국 글로벌 패권의 부상의 명분을 근사하게 만들어 줄 것입니다그리고 이 글로벌 패권으로 하여금 중국을 삼키겠지요물론 중국도 바보가 아니라 친환경과 에 엄청나게 투자해놨습니다하지만 전세계와 싸우기엔 중국 인구가 너무나 적죠이 경쟁에서 가장 큰 승자는 터키와 일본이 되겠네요 이유는 영업기밀입니다
1783,문프덕분에 지천에깔린게 친환경에너지 태양광 패널인데 이정도면 우리나라는 이제 전기 무한생산 수준임ㅇㅇ 널린게전긴데 전기가격이오르는게 말이 되냐 으이그
1784,차지포인트 미국 최대 전기차 충전기 회사 중 하나 적자기업 하지만 이번 인프라플랜 최대 수혜 섹터 이걸 사 말아
1785,언론 플레이의 행태와 양태도 미국이 바이오디젤을 외치던 시절과 흡사합니다우리가 교수나 저널리스트들도 아니고 팩트를 따져가며 열을 내기보다는달러를 통해 세계의 유동성을 늘리고 조이는 미국 이 그렇게 하기로 했다는 겁니다 나 미국이 추진하는 소위 탄소국경세 또는 탄소조정메커니즘 은 더더욱 이해할수 없습니다18 산업 혁명 때부터 시작해서 석탄 팡팡 때서 지구를 이 지경으로 만든 원죄가 누구한테 있을까요 과거에 자기들이 했던 짓거리에 대해서는 일체의 반성도 없으며 비용절감을 위해 제조시설을 개도국에 옮겨놓고 리쇼어링하기엔 이제 와서 들어갈 비용이 막대하니 탄소를 들먹여 돈을 풀겠다그리고 무한하게 푼 돈으로 어떻게든 자국의 추락을 막겠다는 거대한 기만 그 이상이하도 아니라 봅니다 소위 기득권의 전형적인 사다리 걷어차기이며 지구의 구원자인양 행동하는 이 무슨 위선적이고 역겨운 짓거리인가 라며 생각하기보다오늘 발표된 독일의 전망치를 보면 3번 연속 쇼크를 보고 생각해보자유럽은 저것친환경 정치병 말고는 답이 없는 역병환자의 길로 들어섰다우리가 이태리 등의 2류 유럽을 선진국이라 부르는 마지막 5년이라고 볼 수 있고그나마 투자한게 친환경인데 이걸 억지로라도 글로벌 표준을 만들지 못하면 유럽은 아시아의 뒤안길로 사라질 가능성이 있다당연하게도 이렇게 비용을 수반하는 억지성은 시간이 좀 지난 후탄소국경세 덕분에 개도국에서 기후변화 대응에 필요한 각종 자원 생산이 불가능해지는 상황이 온다그러면 또 그럴듯한 명분이나 논문하나 들고나온뒤 과학적 논리와 수식으로 예외 조항을 두겠지민주당 특유의 세상을 위하는 척 테마는 반복댐미국이 바이오 디젤을 상용화한다던 당시의 옥수수와 기후위기 뉴스들을 검색해보자하지만 투자자로서 욕할게 아니라 돈을 뿌려대는 곳에 내 자산을 맡겨놓는게 중요함아니 억지로 기준 들어서 가 투자심사한다는데억지로 돈의 수급을 만드는 흐름에는 항상 동참해야 한다고 생각해 봅니다그것이 참이든 거짓이던지 말이죠
1786,테마주다시 가나지금 저점찍고 반등한 개잡주 많은데 한달사이에 30이상 오르면 재진입 생각해봐야겠다
1787,초등학교때 교장이 갑자기 뭔바람이 났는지 학교에 논을 만들었음 그리고 나름 친환경 농법이라고 우렁이를 잔뜩 풀어놨는데 근대 이 우렁이샤까들 장구벌래 좆도 안먹어서 주변에 모기 존나 들끓고 우렁이들 비만오면 때딸출해서 막 실수로 밟고 그러고 존나 여기저기다가 분홍빛 알 싸놓고 그랬음 그리고 그 다음해부터 어디론가 증발해버림
1788,에이 시발 친환경바이오 어제 올린거 다 토하네
1789,오는 25일 2021 한경 재테크쇼 연사로 나서주식으로 부자된 사람들의 공통점 강연뻔하지만 뻔하지 않은 종목이 시장 주도오는 25일 한경재테크쇼에 출연 예정인 염승환 이베스트투자증권 이사 사진최혁 한경닷컴 기자 레버리지 투자가 나쁘다고요 진짜 주식부자들은 레버리지 투자로 큰 수익을 올립니다 단 레버리지 투자를 하기 위해선 몇가지 조건이 있습니다염승환 이베스트투자증권 이사 염블리라는 애칭으로 불리며 주린이주식어린이의 합성어들의 선생님으로 불리는 주식전문가 염승환 이사 그는 최근 주식시장에 대해 기다림과 타이밍이 중요하다는 말을 자주한다 염 이사는 신종 코로나바이러스 감염증코로나19 확산을 계기로 이미 주식시장에 4차 산업혁명 시대가 도래하고 있다고 강조했다 염 이사는 코로나19 확산이 여전하지만 언젠가는 끝날 것이라며 이번 코로나19 사태를 계기로 주식시장 트렌드도 4차 산업혁명과 친환경 분야로의 움직임을 보이고 있다고 말했다 코로나19 사태가 끝난다고 하더라도 주식시장이 과거 형태로 돌아가진 않고 또다른 성장의 시대가 올 것이라는 게 그의 주장이다 염 이사는 향후 주식시장의 트렌드를 알기 위해선 업종 분석이 필수적이라고 강조했다 최근 시장에선 2차전지를 비롯해 전기차 수소차 이산화탄소 감축 등 업종으로 돈이 몰리고 있다 현재 주식투자자들 입장에선 뻔하지 뻔하지 않은 것이 향후 시장을 이끌 것이라는 게 그의 생각이다 최근 벼락 거지 말이 유행하고 있다 주식이든 부동산이든 아무것도 투자하지 않고 있다가 상대적인 박탈감을 느끼게 되는 이들을 일컫는 말이다 반대로 부자는 공부와 원칙이 필수다 이처럼 뭐라도 노력하는 투자 습관의 1 차이가 거지와 부자를 가른다는 게 그의 생각이다 염 이사는 주식으로 부자가 된 사람들의 공통점은 자신이 잘 아는 시장과 잘 모르는 시장 두 가지로 나눠 생각한다는 점이라며 주식 부자들은 자기들이 모르는 장場이 왔을 때는 수익을 내기 위해 조급해 하지 않지만 주린이들은 모든 스타일의 시장에서 수익을 내려고 한다고 설명했다 그는 주식으로 성공한 사람들은 자기만의 투자원칙과 철학이 확고한 경우가 많다고 했다 원칙이 하루이틀만에 만들어지는 게 아니고 공부를 통해 충분히 자신만의 노하우를 쌓을 수 있다고도 했다 그러면서 주식 부자들은 업종이나 경제 흐름을 공부하는 것과 동시에 시간을 두고 여유있게 자신이 원하는 시장이 올때를 기다린다며 매일 같이 증권사 리포트나 주요 경제지 신문을 챙겨보면서 투자 종목이나 업종을 찾는 것이 아니라 주식시장 즉 경제 흐름을 파악한다고 귀띔했다 일례로 전기차 바이오 등 성장주에 관심을 가지고 있으면 해당 산업과 정책 흐름에 대해 공부를 할 필요가 있다는 얘기다 염 이사는 돈이 다음에 어느 곳으로 갈지를 미리 내다보는 눈이 중요하다고도 했다 한적한 동네인데 갑자기 사람들의 발길이 늘었다든지 요즘 모임에 나가면 부쩍 어떤 주제가 화제에 오른다든지 어떤 상품이 눈에 많이 띈다든지 하는 변화를 일찍 알아채 돈의 흐름을 파악할 줄 알아야 한다 이를 파악하기 위해선 최소한의 공부가 필요하다는 것이다 그는 업종 차트 산업 등 어떤 분야가 됐든 6개월 이상 관심을 가지고 공부를 한다면 자신 만의 투자 노하우가 생길 것이라며 보통 주식으로 부자가 된 사람들은 지식을 쌓고 자신이 원하는 시장에 왔을 때 과감하게 투자해 큰 수익을 올린 케이스라고 말했다 투자 결정이 빠른 것처럼 보이지만 성급하게 결정해서는 안된다는 점도 강조했다 염 이사는 어떤 판단을 내릴 때 그동안 쌓아온 지식을 기반으로 판단하기 때문이다 이처럼 하기 위해선 습관화된 공부가 필요하다는 것이 염 이사의 생각이다 반면 주식으로 손해를 많이 보는 사람들의 공통점은 자기주관 없이 남 이야기에 휘둘리는 경우가 많다고 말한다 남의 말에만 의존하면 모든 업종과 종목에서 수익을 내고 싶어지는 욕심이 생기는데 그런 경우 성과가 좋지 않다는 것이다 염 이사는 수익률이 좋지 않은 투자자들을 살펴보면 오래 기다리지도 못하면서 인내심도 부족한 경우가 많다며 자신이 직접 공부한 업종이나 종목에 맞는 주식시장이 펼쳐졌을 때 과감하게 투자한 게 중요하다고 강조했다 여기서 과감하게 투자한다는 것은 레버리지 투자를 의미한다 통상 레버리지 투자는 빚투와 다름없이 빚을 내서 하는 투자다 때문에 의견이 갈리는 경우가 많지만 주식투자로 부자가 된 사람들은 공통적으로 자신이 잘 알고 있는 업종에서 레버리지 투자를 했다는 게 염 이사의 의견이다 그는 업종이나 종목에 대한 이해도가 없으면서 레버리지 투자를 일으키라는 의미가 아니다 자기만의 원칙이 생겼을 때 레버리지 투자 통해 큰 수익을 거둘 수 있다면서 레버리지 투자가 100 성공하는 것은 아니지만 통상 10개 중 78개 확률로 성공할 가능성이 있다고 설명했다 주식부자들은 자기가 모르는 시장과 업종에서 승부를 보지 않는다는 것이다 염승환 이베스트투자증권 이사 사진최혁 기자 염 이사는 이처럼 면밀하게 주식시장을 들여다본지도 16년 이상이 됐다 유튜브 경제전문채널인 삼프로와 트렌드의 고정 패널로 출연한걸 계기로 주린이들의 인기스타로 자리매김했다 주린이가 가장 알고 싶은 최다질문 77 서적은 출간하자마자 베스트셀러 반열에 올랐다 염 이사는 우리나라 주식시장은 아직도 갈길이 멀고 돈을 벌 기회도 무궁무진하다면서 다만 준비된 사람한테만 돈 벌 기회가 찾아오기에 이번 2021 한경 재테크쇼를 통해 다시 한번 마음을 다잡고 투자를 해보길 추천한다고 말했다 그는 오는 25일 한경닷컴에서 개최하는 ‘2021 한경 재테크쇼’를 통해 주식으로 부자된 사람들의 공통점이라는 주제로 경연에 나설 예정이다 이 세미나에는 염 이사 외에도 2021년 한경 스타워즈 실전투자대회 상반기 우승을 차지한 홍광직 유안타증권 강북센터 과장 박병창 교보증권 부장 이주현 월천재테크 대표 황성환 교통망전문가 안시후 가상자산 전문트레이더 등이 총출동할 예정이다
1790,에라이 씹스캠은 역시 씹스캠
1791,편의점 3사 마감 할인판매 서비스 본격 운영리테일 지난달 27일 당근마켓서 서비스 개시세븐일레븐 라스트오더로 139만개 식품 판매 그린세이브로 식료품 매출 두 배 넘게 증가서울뉴시스김정현 기자 편의점 3사 ·25·세븐일레븐이 마감할인 판매 서비스 운영을 본격화했다 평소였으면 버려질 식료품을 유통기한 안에 할인 판매해 수십억원의 비용을 절감하는 한편 근거리 쇼핑 수요도 잡고 있다 친환경·사회공헌·지배구조 경영과 일맥상통하는 일석삼조 효과가 있어 업계 전반에 확산할 것으로 보인다10일 편의점 업계에 따르면 25를 운영하는 리테일은 지난달 27일 당근마켓을 통해 마감할인 판매 서비스 운영을 개시했다 앞서 3월 당근마켓과 업무협약을 맺고 추진 계획을 밝힌지 4달여만이다25 슈퍼마켓 더프레시 등 1만6000여개 오프라인 매장에서 발생하는 유통기한 임박 상품을 할인한다는 소식을 당근마켓을 통해 알린다 담배 주류 등 온라인 판매가 불가한 물건을 빼고 유통기한이 있는 사실상 모든 식료품을 최대 60 할인받을 수 있다당근마켓 앱 하단 내 근처 메뉴로 들어가 생활서비스를 누르거나 검색창에 마감할인을 검색하면 쉽게 이용할 수 있다 내 동네 인증을 받은 지역 위치 정보를 기반으로 할인 상품을 실시간 확인할 수 있다결제도 앱에서 미리 할 수 있다 결제하면 당근마켓 채팅창으로 코드를 받는다 픽업 시간까지 매장을 방문해 코드를 보여주고 상품을 받아가면 된다자취생 1인가구는 대형마트가 문 닫는 시간을 이용해 당일 생산한 식료품을 저렴한 가격에 사 가는 경우가 많다 편의점 업계가 이런 마감 할인을 경영 기법으로 적용한 이유는 경영이 강조되면서다 매일 발생하는 폐기물을 줄이고 싼 가격에 팔면 불필요한 비용도 아끼고 자원도 절약할 수 있다리테일 관계자는 마감할인 판매 서비스가 폐기 상품을 효과적으로 축소하고 더 나아가 효율적인 자원 선순환 체계를 촉진하는 모범적인 사례로 거듭날 것으로 기대한다고 설명했다편의점 3사 중 가장 먼저 마감할인 판매 서비스를 도입한 곳은 세븐일레븐을 운영하는 코리아세븐이다 롯데그룹 엑셀러레이터 스타트업 우수 투자기업 미로가 개발한 거래 플랫폼라스트오더 앱을 지난해 2월 적용한 라스트오더 서비스를 운영하고 있다운영 1년반이 지난 현재 전국 세븐일레븐 1만여개 점포가 참여하고 있다 누적 판매량은 139만개에 달한다 코리아세븐은 매가 기준으로 약 36억원에 달하는 폐기 비용을 절감한 것으로 보고 있다가맹점 점포 운영 효율 개선에도 기여한다 세븐일레븐이 라스트오더 서비스 매출 상위 100개점 운영을 분석한 결과 서비스 대상 상품군인 도시락·삼각김밥·유음료 올해 발주량이 전년 대비 264 늘었고 판매량도 278 증가했다 폐기는 같은 기간 9 줄었다코리아세븐 관계자는 상품 발주를 늘리면 구색 강화 효과로 인해 판매가 기본적으로 동반 상승하고 일부 미판매 상품이 발생하더라도 ‘라스트오더’ 서비스를 통해 폐기를 면할 수 있다고 설명했다리테일도 편의점 에 세븐일레븐과 같은 라스트오더 앱을 통해 지난해 6월 그린세이브 서비스를 도입했다 올해 7월 이용 건수는 전년 대비 667 매출은 두배를 넘는 1206 늘어 호평을 얻고 있다 현재 전국 2000여개 점포에서 운영하고 있다소비자가 앱에 올라온 상품을 골라 결제하면 점포로 판매 알림이 간다 점포 근무자가 미리 포장한 제품을 준비해 구매자에게 제공하면 된다 는 앱과 점포 계산기를 연동해 편의성을 극대화했다그린세이브 서비스 매출 1위인 구로파트너점은 빵·유제품 등 일반 식품 폐기율을 0로 줄였다 할인된 가격으로 판매량을 늘려 전체 매출이 10 늘었다 리테일은 환경보호 캠페인을 통해 참여 점포를 꾸준히 늘릴 계획이다참고
1792,밤에 안되고 새똥 먼지 치워야 하는 태양광물모아놨다가 터트릴때만 전기 나오는 수력지진나는 지열이나 ㅈ도없는 잡 친환경들 제외하면걍 꾸준히 나오는 풍력이 그나마 제일 나을듯
1793,세계를 홀린 한국의 이것 ‘마스크 팩’…세계는 지금 1일 1팩 중‘뷰티’는 한국의 화장품 화장법이 세계인들의 관심을 받아 생겨난 신조어입니다팝만큼이나 세계 곳곳에서 인기를 끌고 있는데요 전 세계가 뷰티에 주목하게 된 계기는 무엇일까요뷰티의 숨은 공신 마스크 팩한국 드라마의 해외 열풍으로 한국인의 ‘동안 피부’가 화제가 됐습니다한국 연예인들은 피부 관리 비법으로 ‘1일 1팩’을 꼽았는데요 이에 마스크 팩의 영향력은 전 세계로 빠르게 확산 뷰티 시장을 열었습니다1일 1팩 하루에 한 번씩 마스크 팩을 하는 것세계인의 애착템 마스크 팩 마스크 팩에 대한 세계인들의 관심은 시간이 갈수록 높아졌습니다편리한 사용법 합리적 가격 눈에 띄는 효과 등 마스크 팩의 특별한 장점 덕분이지요이렇게 한국산 마스크 팩은 입소문을 타면서 세계인의 ‘애착템’으로 등극했습니다마스크 팩 보건산업 품목별 수출 순위 9위 2021년 6월 기준남녀노소 취향저격 다채로운 마스크 팩의 향연한국 마스크 팩이 사랑받는 또 하나의 이유 바로 색다른 디자인과 재료입니다주름 개선 미백 효과 등 고기능성부터 동물 모양 친환경 시트를 활용한 팩까지재미와 기능은 물론 환경까지 생각한 마스크 팩은 뷰티 열풍을 이끌어 나가고 있답니다앞으로도 뷰티 인기에 힘입어 전 세계인의 마음을 꾸준히 사로잡길 기대합니다참고자료 세계가 열광하는 ‘케이뷰’ 해외문화홍보원 홍콩 한류붐 한국 페이셜케어 마스크팩 ‘열풍’ 뷰티 열풍의 숨은 주역 ‘마스크 팩’ 넥스트이코노미 한국보건산업진흥원 월간 보건산업 수출 동향 2021년 7월호자료제공 끝
1794,젊은 및 깨어있는 사업가들이 점점 많아지고 블록체인 기술에 흥미를 가지고 점점 적용시켜 나가는 시장임 더이상 은성수 같은 틀딱 마인드로 미래를 도모할 수 없음 로봇시대 자동화시대 친환경시대에 현물화폐는 점점 의미가 퇴색 될 예정임
1795,일반 투자자들은 단순히어라이벌을 보면그냥 100 자동화이고 기가팩토리수준으로 가지 못한다고 생각한다과연 그럴까어라이벌은 유동자산비율이 1000이상넘어가는데 아직 스텝도 안밟았다나는 왜 어라이벌을 특별히 눈여겨보냐테슬라의 기가팩토리를 보자당연히 크게크게 짓는다 그런데기가팩토리를 크게 짓고 11 또 하나를 짓는데막대한 비용이 소모된다그런데 어라이벌의 마이크로팩토리는 다르다어라이벌이 제조업에 본격적으로 뛰어든다1개 공장이 아니라 50개 100개 공장을 전세계에 증설할 수 있다 이건 외국 로봇공학 전문가가 이야기했음이게 마이크로팩토리의 경악하는 무서움이다한마디로 스타크래프트로 예로들면기가팩토리와 마이크로팩토리를배럭으로 예를 들었을때기가팩토리는 엄청 큰 배럭을 생산하는데 9999 미네랄이 든다하지만 마이크로팩토리는 200300미네랄로 저비용으로 대규모로건설한다 일반 창고에서도 가능하고 로봇팔 4개로 짓는시간 비용이세계 자동차 공장에서 가장 낮은 비용이 들어간다어라이벌의 진짜 무서움은 아주 빠른 시간내에 수학적으로나 수치적으로 규모의 경제학으로빠르게 넘어갈 수 있다어라이벌의 최고 장점이지 않을까 싶다 어라이벌 로보틱스는 자동차업계에서 세계최고의 발명품이 될거다왜 어라이벌이냐당연히 100 자동화영역은 소재싸움이다소재싸움에서 어라이벌은 갑의 위치에 서있다당연히 현대나 수많은 내연기관차들은 어라이벌에 투자할 수밖에 없다기존의 자동차 내연기관차나 전기차 기업들은 합성소재를 만들지 못했기 때문이기도 하고이 합성소재로 100 자동화를 실현하지 못했기 때문이다당연히 이 합성소재는 어라이벌의 독점 특허다 친환경으로 넘어가야할 자동차 기업들에겐 꿈의 소재일 가능성이 높다
1796,최신 친환경 우드지지대 맛닭꼬 에디션으로 대체되었다이제 보드 휨 걱정은 좋아도 되겠노
1797,점주랑 교대하는데이상한 할배새끼 와가지고 저번에 여기서 봉투값 백원 받아서 그냥 갔다고 개지랄병 떠는데점주는 그럴리가 없다고 하는데도 기분 나빴다고 ㅈㄹㅈㄹ봉투 백원 받는곳이 씨유 아님 친환경 봉투인가 그걸로 아는데
1798,중국의 강제적인 친환경시진핑의 탄소 기업 및 반중세력 제거내 글들은 다 이유가 있다중국의 은행 보험사들은 당연히외국계 은행 보험사에 속박될 수밖에 없는 구조다왜냐하면 달러시스템을 쥐고있는 은행과 보험사가중국 금융시스템을 장악하고 있었기 때문이다 1중국 보험시장의 경쟁환경이 새로운 단계에 접어들었다 최근 수년간 중국 정부가 취한 일련의 대외개방 조치로 외국 보험회사 및 역외 금융기관의 중국 보험시장 진입 기준이 완화되면서 외국인 지분 100의 보험회사가 속속 설립되고 있기 때문이다 이 가운데 독일 알리안츠 프랑스 악사 홍콩계 등 거대 글로벌 보험그룹 3곳이 활발한 움직임을 보이면서 이전과는 다른 양상의 경쟁구도를 만들어 내고 있다 중국 보험업계는 글로벌 보험 거인들이 이번에는 중국 보험시장에서 파란을 일으키지 않을까 주목하고 있다 이에 중국 내 외국계 보험회사의 지난해 실적과 향후 구체적인 움직임에 대해 살펴본다2다음은 프랑스 악사그룹이다 악사그룹 역시 중국 금융시장 대외개방 정책의 수혜자다 2019년 12월 악사그룹은 46억 위안을 투자해 악사텐핑의 지분 50를 추가 인수함으로써 지분 100를 확보했다 당시 지분 거래로 악사텐핑은 중국 최대 외국계 독립법인 보험회사로 거듭났다
1799,문재인 대통령은 오늘 오전 10시 청와대 여민1관에서 정부서울청사·세종청사 국무회의실과 영상회의로 열린 국무회의를 주재했습니다 지역상권 상생 및 활성화에 관한 법률 공포안 등 법률 공포안 형의 집행 및 수용자의 처우에 관한 법률 일부개정법률안 자유무역협정의 이행을 위한 관세법의 특례에 관한 법률 시행령 일부개정령안 등 대통령령안 2021년도 일반회계 일반예비비 지출안 등을 심의·의결했습니다오늘 국무회의에서는 제388회 임시회에서 의결되어 정부로 이송된 법률안 46건을 헌법 제53조에 따라 공포키로 했습니다 지역상권 상생 및 활성화에 관한 법률 공포안은 상가내몰림젠트리피케이션 예방과 구도심 상권 활성화를 위해 ‘지역상생구역’ 및 ‘자율상권’을 지정하여 건물 소유자와 상가 임차인이 상생하고 협력할 수 있는 제도적 기반을 마련했습니다 지역상권의 경영 여건이 안정되어 상권 활성화 재투자 강화 등 지역경제 선순환이 이루어질 수 있기를 기대합니다환경친화적 자동차의 개발 및 보급 촉진에 관한 법률 일부개정법률 공포안은 환경친화적 자동차 관련 기업에 대한 자금 지원 환경친화적 자동차 구매목표제 도입 공공건물에 환경친화적 자동차 충전시설 및 전용주차구역 설치 의무화 등을 규정하고 있습니다 친환경차 수요창출 및 충전편의 개선에 기여할 수 있기를 기대합니다오늘 통과된 대통령령안 중 자유무역협정의 이행을 위한 관세법의 특례에 관한 법률 시행령 일부개정령안은 신남방정책 추진 및 시장 다변화 등을 위해 2019년 한인도네시아 포괄적경제동반자협정 한이스라엘 협정이 타결된 바 양국을 원산지로 하는 수입물품의 협정관세율 특혜관세 등 협정의 주요 내용을 시행령에 반영한 것입니다 한인도네시아 한이스라엘 는 정식서명을 완료하고 국회비준 등 발효를 위한 양국 절차를 진행 중에 있습니다적극행정 운영규정 일부개정령안 지방공무원 적극행정 운영규정 일부개정령안은 올해 2월 발표한 2021년 적극행정 추진방안 후속조치로서 국민이 적극행정을 신청하면 담당공무원이 이를 해결하는 ‘적극행정 국민 신청제’를 도입했습니다 국민께서 체감할 수 있는 정부혁신의 성과를 기대합니다안건 심의 후 오는 7월 26일 출범 4주년을 맞은 중소벤처기업부는 ‘출범 4년의 성과와 향후계획’을 보고했습니다 지난 4년간 벤처기업에 대한 투자가 2017년 대비 2배 이상 증가했고 벤처기업 일자리도 4대 대기업보다 더 많이 창출되는 성과가 있었으며 앞으로 코로나19 재확산으로 어려운 소상공인의 경영회복을 위한 재난지원금 지원 및 손실보상제 시행 준비에 만전을 기하겠다고 말했습니다또한 중소벤처기업부는 중소기업 소상공인 판로개척과 소비 촉진 견인을 위해 지난 6월 24일부터 7월 11일까지 ‘대한민국 동행 세일’을 추진한 결과를 보고하며 다양한 온라인 기획전을 통해 작년보다 4배가 넘는 약 1200억 원의 비대면 매출실적을 달성했다고 말했습니다자료제공 끝
1800,1중국의 돈줄은 미국의 로 부터 자유로울 수 없다나보다 잘아는 놈 없다시진핑은 중국기업들을 박살내기 원하지 않는다어쩔수없는 선택이다당연하게도 시진핑은 당연히 중국기업들을 구조조정 할수밖에 없을테고친환경으로 힘을 쏟을수밖에 없을거다왜 중국의 부채는 누가 쥐고있다중국의 실질적인 성장명목 부채는 미국이 강력하게 쥐고있기 때문에시진핑은 쥐쫒기듯 중국기업들을 탄압할수밖에 없다
1801,미국이 중국에 달러를 빌려주는 조건은에 규범에 속하지 않으면안빌려준다금융개방이후 조건에 부합한 부채를 내주는 조건이다이 조건을 알면중국이 왜 강제적으로 탄소규제를하는지 인과관계가 명확하게 보인다친환경으로 안가면 돈줄을 틀어막는다는얘기임
1802,닉언 없었자나 ㅅㅂ
